"year","doy","GPP","R","NEP"
2005,244,0.169338340428198,-0.126891368591829,-0.0108776679063223
2005,245,0.268207012815161,-0.317389469948978,-0.189316246552234
2005,246,0.086820770074032,0.00233731780676723,0.0940507516176893
2005,247,0.137188980598722,-0.133909649821813,-0.0547996765031438
2005,248,0.296860545377531,-0.241316270914281,-0.0469608748706441
2005,249,0.250751357241541,-0.290323733313282,-0.167520624298025
2005,250,1.85483855886082,-1.66120265379243,-0.520207165925348
2005,251,0.348422943614548,0.164946105625653,0.607405140783537
2005,252,-0.459194502020432,0.442226844866857,0.174567159868815
2005,253,0.392696562805261,-0.304132226535054,-0.0398164432550245
2005,254,0.281123836664781,-0.334928926125065,-0.201765713404237
2005,255,0.392008845776279,-0.430704818371026,-0.227641370694964
2005,256,0.279033309974583,-0.319004948729057,-0.180407339886867
2005,257,0.891737466011075,-1.0201102895327,-0.57748046347157
2005,258,0.288968021322143,0.0216813392203013,0.333582523705291
2005,259,-0.813551095360916,0.511606428597144,-0.0926351181025689
2005,260,0.725513078981594,-0.303950768408634,0.307738598681073
2005,261,0.367953619465859,-0.31655888241759,-0.0840050058703238
2005,262,0.607370669516331,-0.589399962827795,-0.237508811641439
2005,263,-0.00102656259795658,-0.353765686787804,-0.524029167527664
2005,264,0.285346774633416,0.0119855244307556,0.31547088790642
2005,265,0.357550363020703,-0.342187361498355,-0.132746155584661
2005,266,0.787077126403445,-0.329899849378191,0.333619832818443
2005,267,0.19672101433801,-0.186802968043384,-0.0871131524108509
2005,268,0.286214545668871,-0.275409395960241,-0.132416919935467
2005,269,0.344432912893615,-0.229308994227481,0.000489831185105396
2005,270,0.231515947443023,-0.166220069939834,-0.0185886860522386
2005,271,0.223899080169551,-0.257818481096003,-0.169908147625517
2005,272,0.237417895771464,-0.195320688715506,-0.057978925880134
2005,273,0.306736656294649,-0.25839035460825,-0.0843640441228441
2005,274,0.345446945947535,-0.201938293399429,0.0443890495809313
2005,275,0.1769862499371,-0.208965628498147,-0.142395331627951
2005,276,0.227108587966496,-0.192814012362835,-0.0648129710376594
2005,277,0.391066065616328,-0.401631814199848,-0.22057216245229
2005,278,0.192953874460672,-0.145281473109179,-0.026053914994535
2005,279,0.380704898257521,-0.361932017233792,-0.169245002705913
2005,280,0.289315471388942,-0.234963538916076,-0.0658746125062656
2005,281,0.141273009758774,-0.0903485242068174,0.00600023316370183
2005,282,0.267482699248787,-0.153121758770733,0.039443542009761
2005,283,0.789498931254321,-0.557433616702266,-0.0486798196164295
2005,284,0.434218237431076,-0.250145050603045,0.0615659076798343
2005,285,0.568304151065118,-0.450870735878433,-0.112697689828728
2005,286,0.13209517467507,-0.126789012168017,-0.0606139237324756
2005,287,0.0574658326981603,-0.0333384586280171,0.0077824119194449
2005,288,-0.0346073857501501,-0.056469088012988,-0.124498453324834
2005,289,0.260740921157506,-0.15994666747143,0.0217261773395074
2005,290,0.164725116035977,-0.194703265504961,-0.132865859709354
2005,291,0.497780519329869,-0.382417655477864,-0.0791436144907069
2005,292,0.440224012389601,-0.316962081644799,-0.0367503757331449
2005,293,0.431128716037709,-0.304435192394211,-0.0266338148385477
2005,294,0.203870113699742,-0.158825907508672,-0.0358630409355818
2005,295,0.192788036568214,-0.137214314143441,-0.0136001057185545
2005,296,0.140395443405935,-0.2013629155021,-0.168677144188398
2005,297,0.0647277134940001,-0.0295951752180771,0.021219078956749
2005,298,0.441930895981829,-0.449896128546462,-0.24303996191777
2005,299,0.511274905945977,-0.539121811313798,-0.310338585417099
2005,300,0.0761754324450679,0.0109336087357342,0.0966008823116549
2005,301,0.260878291797856,-0.0906256586568009,0.130371969195813
2005,302,0.194830712829699,-0.18338163751138,-0.0837305148911702
